transaksie_id,datum,winkel_naam,klient_id,produk_kategorie,produk,verkoopsprys,kosprys,hoeveelheid
T00250,2025-09-04,Paarl,K0097,Toestelle,Mikrogolf,3377.67,2392.42,2
T00251,2025-07-20,Stellenbosch,K0138,Meubels,Bed,9290.75,6396.71,1
T00252,2025-08-07,Worcester,K0194,Meubels,Bank,15421.58,10980.73,1
T00253,2024-07-24,Paarl,K0098,Toestelle,Droër,7770.11,5084.06,1
T00254,2025-02-21,Stellenbosch,K0049,Toestelle,Stoof,5334.27,3625.83,1
T00255,2024-10-24,Stellenbosch,K0005,Toestelle,Droër,6176.71,4083.47,1
T00256,2025-03-04,Stellenbosch,K0115,Meubels,Eetstel,17152.63,11488.23,1
T00257,2024-08-19,Stellenbosch,K0139,Meubels,Kas,8442.92,5398.36,1
T00258,2025-02-08,Stellenbosch,K0060,Meubels,Lessenaar,3119.9,2056.77,3
T00259,2025-05-23,Worcester,K0037,Toestelle,Wasmajien,4444.93,3069.33,1
T00260,2025-12-16,Stellenbosch,K0143,Toestelle,Stoof,8400.01,5854.05,1
T00261,2024-12-27,Worcester,K0089,Toestelle,Droër,4019.07,2669.1,1
T00262,2025-07-26,Worcester,K0077,Toestelle,Mikrogolf,2455.44,1736.15,1
T00263,2025-07-21,Stellenbosch,K0077,Toestelle,Wasmajien,7549.9,5355.83,1
T00264,2024-11-25,Paarl,K0107,Meubels,Lessenaar,3560.12,2391.44,1
T00265,2025-12-25,Stellenbosch,K0085,Toestelle,Wasmajien,6905.98,4899.16,1
T00266,2024-09-19,Paarl,K0049,Toestelle,Yskas,10910.28,7319.55,1
T00267,2024-08-22,Paarl,K0019,Toestelle,Droër,5863.69,3909.96,1
T00268,2025-01-09,Worcester,K0086,Meubels,Kas,4810.69,3318.34,1
T00269,2025-05-07,Stellenbosch,K0031,Meubels,Bank,11732.42,8220.15,3
T00270,2025-11-03,Stellenbosch,K0142,Meubels,Kas,4447.14,3191.49,2
T00271,2025-05-26,Paarl,K0092,Toestelle,Mikrogolf,3482.36,2463.13,1
T00272,2025-05-12,Paarl,K0120,Toestelle,Droër,6542.32,4428.58,2
T00273,2024-10-09,Worcester,K0095,Toestelle,Stoof,7240.49,4682.6,2
T00274,2025-05-17,Paarl,K0190,Meubels,Lessenaar,4713.98,3168.05,2
T00275,2024-11-27,Stellenbosch,K0149,Toestelle,Droër,6365.21,4158.44,2
T00276,2025-09-01,Paarl,K0098,Meubels,Bank,11447.58,7950.5,1
T00277,2025-03-09,Paarl,K0126,Toestelle,Stoof,7545.1,5178.14,1
T00278,2025-11-15,Paarl,K0185,Meubels,Bed,6848.36,4881.8,1
T00279,2025-11-13,Stellenbosch,K0020,Meubels,Lessenaar,2984.81,2130.32,1
T00280,2024-08-19,Stellenbosch,K0060,Toestelle,Wasmajien,9050.31,5828.31,1
T00281,2024-09-08,Worcester,K0117,Meubels,Eetstel,16729.67,10996.59,1
T00282,2025-07-18,Stellenbosch,K0137,Toestelle,Mikrogolf,2655.63,1846.67,1
T00283,2025-08-26,Stellenbosch,K0138,Meubels,Lessenaar,4372.08,3057.18,1
T00284,2025-04-20,Stellenbosch,K0025,Toestelle,Wasmajien,5566.69,3870.53,1
T00285,2025-12-19,Stellenbosch,K0065,Meubels,Bank,10109.12,7433.32,1
T00286,2025-06-28,Paarl,K0104,Toestelle,Yskas,6155.49,4308.2,1
T00287,2025-10-14,Worcester,K0021,Meubels,Bank,10383.57,7512.96,1
T00288,2024-08-02,Stellenbosch,K0122,Toestelle,Mikrogolf,1959.23,5045.4,1
T00289,2024-08-27,Worcester,K0112,Meubels,Bank,16217.85,10417.09,1
T00290,2025-06-05,Worcester,K0059,Meubels,Lessenaar,5381.64,3728.62,2
T00291,2025-02-02,Worcester,K0020,Toestelle,Stoof,8639.26,5820.69,1
T00292,2025-04-14,Worcester,K0081,Meubels,Bank,9846.79,6648.38,2
T00293,2024-07-17,Stellenbosch,K0077,Meubels,Kas,4444.13,2927.12,2
T00294,2024-12-14,Worcester,K0100,Meubels,Lessenaar,4309.66,2908.68,1
T00295,2025-06-05,Paarl,K0089,Meubels,Eetstel,17778.53,12418.91,1
T00296,2024-08-24,Stellenbosch,K0088,Toestelle,Wasmajien,9864.12,6258.08,1
T00297,2025-08-11,Paarl,K0116,Meubels,Bed,5202.86,3727.77,1
T00298,2025-11-15,Stellenbosch,K0111,Toestelle,Droër,7175.56,5210.23,2
T00299,2025-01-07,Worcester,K0076,Toestelle,Yskas,7698.71,5280.32,1
T00300,2025-03-10,Worcester,K0098,Meubels,Eetstel,13538.62,9337.69,1
T00301,2024-12-05,Worcester,K0024,Toestelle,Stoof,8587.34,5779.52,1
T00302,2024-07-06,Paarl,K0027,Toestelle,Stoof,7004.29,4417.64,1
T00303,2024-11-13,Stellenbosch,K0143,Meubels,Kas,5641.58,3648.84,1
T00304,2025-12-07,Paarl,K0142,Meubels,Eetstel,12277.31,8612.42,1
T00306,2025-08-02,Stellenbosch,K0176,Meubels,Lessenaar,5255.39,3646.24,1
T00307,2025-07-25,Stellenbosch,K0127,Meubels,Bed,8198.66,5688.25,1
T00308,2024-11-27,Stellenbosch,K0077,Meubels,Kas,7127.08,4806.19,1
T00309,2025-11-08,Stellenbosch,K0185,Toestelle,Stoof,7307.28,5255.94,2
T00310,2025-11-20,Worcester,K0078,Meubels,Kas,6855.9,4903.37,1
T00311,2024-07-07,Paarl,K0085,Toestelle,Droër,4546.95,3025.57,1
T00313,2025-01-22,Paarl,K0082,Toestelle,Wasmajien,7957.89,5468.33,3
T00314,2025-04-25,Worcester,K0084,Toestelle,Droër,4506.18,3090.13,1
T00315,2025-07-21,Paarl,K0145,Toestelle,Stoof,7326.7,5152.15,1
T00316,2025-01-21,Worcester,K0187,Meubels,Lessenaar,4547.4,3128.41,1
T00317,2025-10-16,Worcester,K0178,Meubels,Kas,7509.44,5392.89,1
T00318,2024-09-09,Paarl,K0062,Toestelle,Wasmajien,6134.66,3990.71,1
T00319,2025-03-16,Worcester,K0019,Meubels,Kas,6794.71,4635.68,1
T00320,2025-10-03,Worcester,K0130,Toestelle,Droër,8229.88,5858.52,1
T00321,2025-09-02,Worcester,K0138,Meubels,Bed,9154.14,6327.52,1
T00322,2024-09-26,Stellenbosch,K0157,Meubels,Bed,7593.91,4853.85,1
T00323,2024-08-15,Worcester,K0111,Toestelle,Stoof,9168.06,5834.14,3
T00324,2024-10-17,Stellenbosch,K0192,Meubels,Bed,6792.03,4580.66,1
T00325,2025-12-14,Worcester,K0119,Meubels,Kas,6129.88,4371.42,1
T00326,2025-11-25,Stellenbosch,K0076,Toestelle,Yskas,8688.65,6069.45,1
T00327,2025-08-30,Stellenbosch,K0088,Meubels,Bank,12844.01,9151.23,1
T00329,2025-10-07,Paarl,K0182,Meubels,Bed,8788.9,6167.4,1
