transaksie_id,datum,winkel_naam,klient_id,produk_kategorie,produk,verkoopsprys,kosprys,hoeveelheid,verkoopsprys_genormaliseer,kosprys_genormaliseer,hoeveelheid_gestandaardiseer,totale_inkomste,log_totale_inkomste,tipe_Bed,tipe_Droër,tipe_Eetstel,tipe_Kas,tipe_Lessenaar,tipe_Mikrogolf,tipe_Stoof,tipe_Wasmajien,tipe_Yskas,jaar,maand,kwartaal,dag_van_week,winsmarge,bruto_wins,maand_naam,is_naweek,seisoen,verkope_kategorie,winsmarge_kategorie,markup_pct,bydrae_marge,wins_opslag_pct,jaar_maand
T00013,2025-11-20,Paarl,K0023,Toestelle,Droër,8258.78,5981.3,1,0.3269469833724691,0.3364751800749792,-0.4123517295081363,8258.78,9.019153231777755,False,True,False,False,False,False,False,False,False,2025,11,4,3,27.576470132392437,2277.4800000000005,November,False,Lente,Medium,Gemiddeld,38.07667229532042,2227.4800000000005,38.07667229532042,2025-11
T00014,2025-05-19,Paarl,K0104,Toestelle,Yskas,8548.45,5884.06,3,0.3407438807733159,0.3300161277037816,3.146503737778303,25645.35,10.15215654027835,False,False,False,False,False,False,False,False,True,2025,5,2,0,31.16810649883897,2664.3900000000003,May,False,Herfs,Hoog,Goed,45.28148931180172,2614.3900000000003,45.28148931180172,2025-05
T00015,2025-12-09,Stellenbosch,K0133,Toestelle,Mikrogolf,2227.81,1585.77,1,0.0396936457207089,0.0445072813792773,-0.4123517295081363,2227.81,7.709223089734786,False,False,False,False,False,True,False,False,False,2025,12,4,1,28.81933378519712,642.04,December,False,Somer,Laag,Gemiddeld,40.48758647218701,592.04,40.48758647218701,2025-12
T00016,2025-07-06,Worcester,K0053,Toestelle,Mikrogolf,2555.46,1813.98,1,0.0552995194162503,0.059665861609954,-0.4123517295081363,2555.46,7.846378768006097,False,False,False,False,False,True,False,False,False,2025,7,3,6,29.01551971073701,741.48,July,True,Winter,Laag,Gemiddeld,40.87586412198591,691.48,40.87586412198591,2025-07
T00017,2025-03-31,Worcester,K0179,Meubels,Bed,6798.72,4580.58,1,0.2574047524922245,0.2434340052767083,-0.4123517295081363,6798.72,8.824636713845836,True,False,False,False,False,False,False,False,False,2025,3,1,0,32.62584721829992,2218.1400000000003,March,False,Herfs,Medium,Goed,48.42487195944619,2168.1400000000003,48.42487195944619,2025-03
T00018,2025-11-09,Stellenbosch,K0182,Meubels,Lessenaar,4208.31,3007.32,1,0.1340242816249351,0.1389320643726536,-0.4123517295081363,4208.31,8.345054017757159,False,False,False,False,True,False,False,False,False,2025,11,4,6,28.538534471082215,1200.9900000000002,November,True,Lente,Laag,Gemiddeld,39.935557240333594,1150.9900000000002,39.935557240333594,2025-11
T00019,2024-12-10,Paarl,K0058,Meubels,Lessenaar,4486.5,3087.02,1,0.1472743899825199,0.1442260429204163,-0.4123517295081363,4486.5,8.409051032796535,False,False,False,False,True,False,False,False,False,2024,12,4,1,31.19313496043687,1399.48,December,False,Somer,Laag,Goed,45.3343353784556,1349.48,45.3343353784556,2024-12
T00020,2024-10-25,Paarl,K0184,Meubels,Bank,9355.72,6037.19,1,0.3791939148285568,0.3401876074405306,-0.4123517295081363,9355.72,9.143850080707198,False,False,False,False,False,False,False,False,False,2024,10,4,4,35.47059980418397,3318.5299999999997,October,False,Lente,Medium,Goed,54.968122586832614,3268.5299999999997,54.968122586832614,2024-10
T00022,2025-03-07,Paarl,K0154,Meubels,Kas,4168.73,2836.03,1,0.1321390977980786,0.1275543280433402,-0.4123517295081363,4168.73,8.335606564495153,False,False,False,True,False,False,False,False,False,2025,3,1,4,31.968968966567747,1332.6999999999994,March,False,Herfs,Laag,Goed,46.99174550339733,1282.6999999999994,46.99174550339733,2025-03
T00023,2025-12-03,Worcester,K0107,Meubels,Eetstel,11015.44,7681.37,1,0.4582458931284621,0.4494003257424189,-0.4123517295081363,11015.44,9.30714398151352,False,False,True,False,False,False,False,False,False,2025,12,4,2,30.267243069727584,3334.0700000000006,December,False,Somer,Medium,Goed,43.40462703918703,3284.0700000000006,43.40462703918703,2025-12
T00024,2025-06-14,Worcester,K0077,Toestelle,Yskas,9393.72,6404.38,1,0.3810038437174034,0.3645777703383098,-0.4123517295081363,9393.72,9.147903108316696,False,False,False,False,False,False,False,False,True,2025,6,2,5,31.822749666798668,2989.3399999999992,June,True,Winter,Medium,Goed,46.67649327491497,2939.3399999999992,46.67649327491497,2025-06
T00025,2025-11-14,Stellenbosch,K0086,Toestelle,Droër,7386.16,5382.17,1,0.2853843479254881,0.2966786760935354,-0.4123517295081363,7386.16,8.907498636966569,False,True,False,False,False,False,False,False,False,2025,11,4,4,27.131689538271576,2003.9899999999998,November,False,Lente,Medium,Gemiddeld,37.23386663743434,1953.9899999999998,37.23386663743434,2025-11
T00026,2025-07-22,Paarl,K0062,Toestelle,Wasmajien,7257.05,5144.0,3,0.2792348763770939,0.2808585146039413,3.146503737778303,21771.15,9.988386909113308,False,False,False,False,False,False,False,True,False,2025,7,3,1,29.1172032713017,2113.05,July,False,Winter,Hoog,Gemiddeld,41.07795489891136,2063.05,41.07795489891136,2025-07
T00027,2025-07-28,Stellenbosch,K0122,Toestelle,Yskas,8768.7,6147.91,1,0.3512343238724858,0.3475420529211868,-0.4123517295081363,8768.7,9.079057877255485,False,False,False,False,False,False,False,False,True,2025,7,3,0,29.888010765563887,2620.790000000001,July,False,Winter,Medium,Gemiddeld,42.62895845905358,2570.790000000001,42.62895845905358,2025-07
T00028,2025-07-26,Paarl,K0033,Meubels,Kas,5548.34,3916.09,3,0.1978495187018047,0.199296040343172,3.146503737778303,16645.02,9.719926427795166,False,False,False,True,False,False,False,False,False,2025,7,3,5,29.41870901927423,1632.25,July,True,Winter,Hoog,Gemiddeld,41.680604889060255,1582.25,41.680604889060255,2025-07
T00029,2025-11-27,Worcester,K0113,Toestelle,Yskas,8078.72,5824.64,2,0.3183707782217925,0.3260692242494772,1.3670760041350831,16157.44,9.690197792761852,False,False,False,False,False,False,False,False,True,2025,11,4,3,27.901449734611422,2254.08,November,False,Lente,Hoog,Gemiddeld,38.69904406109219,2204.08,38.69904406109219,2025-11
T00030,2024-10-11,Worcester,K0105,Toestelle,Yskas,11114.24,7334.94,1,0.4629517082394631,0.4263891213722629,-0.4123517295081363,11114.24,9.31607241860783,False,False,False,False,False,False,False,False,True,2024,10,4,4,34.0041244385581,3779.3,October,False,Lente,Medium,Goed,51.524620514959906,3729.3,51.524620514959906,2024-10
T00031,2024-12-06,Stellenbosch,K0178,Toestelle,Stoof,9083.35,6235.38,1,0.3662210113692112,0.3533521445594905,-0.4123517295081363,9083.35,9.11430843176547,False,False,False,False,False,False,True,False,False,2024,12,4,4,31.353740635338283,2847.9700000000003,December,False,Somer,Medium,Goed,45.67436146634207,2797.9700000000003,45.67436146634207,2024-12
T00032,2025-08-12,Worcester,K0137,Meubels,Bed,7229.84,4924.1,2,0.2779388720332646,0.266251916327241,1.3670760041350831,14459.68,9.579188520886447,True,False,False,False,False,False,False,False,False,2025,8,3,1,31.891992077279713,2305.74,August,False,Winter,Medium,Goed,46.825612802339506,2255.74,46.825612802339506,2025-08
T00033,2025-07-25,Paarl,K0018,Toestelle,Droër,5687.69,5045.4,1,0.2044867184560354,0.2743091258359438,-0.4123517295081363,5687.69,8.646235272142732,False,True,False,False,False,False,False,False,False,2025,7,3,4,11.292633740587128,642.29,July,False,Winter,Medium,Swak,12.730209695960676,592.29,12.730209695960676,2025-07
T00034,2025-02-26,Worcester,K0112,Toestelle,Wasmajien,7917.51,5262.01,1,0.310692393059399,0.2886971897409737,-0.4123517295081363,7917.51,8.976958335796425,False,False,False,False,False,False,False,True,False,2025,2,1,2,33.53958504630875,2655.5,February,False,Somer,Medium,Goed,50.465506526973535,2605.5,50.465506526973535,2025-02
T00035,2024-10-09,Worcester,K0077,Meubels,Kas,7546.5,4911.38,1,0.2930212952422685,0.2654070053218765,-0.4123517295081363,7546.5,8.928971661580993,False,False,False,True,False,False,False,False,False,2024,10,4,2,34.91843901146227,2635.12,October,False,Lente,Medium,Goed,53.65335201104373,2585.12,53.65335201104373,2024-10
T00036,2024-07-30,Stellenbosch,K0096,Toestelle,Yskas,10862.56,7245.74,1,0.4509642634303867,0.420464116523324,-0.4123517295081363,10862.56,9.293169348241925,False,False,False,False,False,False,False,False,True,2024,7,3,1,33.29620273673977,3616.8199999999997,July,False,Winter,Medium,Goed,49.91650266225396,3566.8199999999997,49.91650266225396,2024-07
T00037,2025-09-15,Stellenbosch,K0175,Meubels,Lessenaar,3660.78,2525.65,1,0.1079455878220363,0.106937702426595,-0.4123517295081363,3660.78,8.205704646968844,False,False,False,False,True,False,False,False,False,2025,9,3,0,31.00787263916433,1135.13,September,False,Lente,Laag,Goed,44.94407380278345,1085.13,44.94407380278345,2025-09
T00038,2025-01-01,Stellenbosch,K0098,Meubels,Eetstel,14072.36,9405.99,1,0.6038460988887989,0.5639561762197406,-0.4123517295081363,14072.36,9.552038927568978,False,False,True,False,False,False,False,False,False,2025,1,1,2,33.1598253597833,4666.370000000001,January,False,Somer,Medium,Goed,49.61062046631988,4616.370000000001,49.61062046631988,2025-01
T00039,2025-03-04,Paarl,K0066,Meubels,Bank,10802.06,7439.08,1,0.4480826661205127,0.433306498109578,-0.4123517295081363,10802.06,9.287584706314336,False,False,False,False,False,False,False,False,False,2025,3,1,1,31.132765416966762,3362.9799999999996,March,False,Herfs,Medium,Goed,45.20693419078703,3312.9799999999996,45.20693419078703,2025-03
T00040,2025-10-14,Paarl,K0174,Meubels,Kas,5721.51,4092.75,2,0.2060975551671088,0.2110304725922029,1.3670760041350831,11443.02,9.34522260180916,False,False,False,True,False,False,False,False,False,2025,10,4,1,28.467310203075762,1628.7600000000002,October,False,Lente,Medium,Gemiddeld,39.79622503206891,1578.7600000000002,39.79622503206891,2025-10
T00041,2024-12-09,Stellenbosch,K0077,Toestelle,Stoof,9962.55,6515.07,3,0.4080970502922082,0.3719302231043305,3.146503737778303,29887.65,10.30523408865076,False,False,False,False,False,False,True,False,False,2024,12,4,0,34.6043934534833,3447.4799999999996,December,False,Somer,Hoog,Goed,52.915471361013765,3397.4799999999996,52.915471361013765,2024-12
T00042,2025-09-08,Worcester,K0051,Toestelle,Mikrogolf,3178.12,2242.34,1,0.084956633151229,0.0881191696490962,-0.4123517295081363,3178.12,8.064359707917784,False,False,False,False,False,True,False,False,False,2025,9,3,0,29.444451436698422,935.7799999999997,September,False,Lente,Laag,Gemiddeld,41.732297510636194,885.7799999999997,41.732297510636194,2025-09
T00043,2025-07-29,Paarl,K0092,Meubels,Bank,12904.09,8855.24,1,0.5482017403895157,0.5273732567068131,-0.4123517295081363,12904.09,9.465377086169465,False,False,False,False,False,False,False,False,False,2025,7,3,1,31.376486059846144,4048.8500000000004,July,False,Winter,Medium,Goed,45.7226455748235,3998.8500000000004,45.7226455748235,2025-07
T00044,2025-04-29,Worcester,K0169,Toestelle,Yskas,7709.76,5262.29,3,0.3007973213052445,0.288715788410903,3.146503737778303,23129.28,10.04889786064292,False,False,False,False,False,False,False,False,True,2025,4,2,1,31.745086747187983,2447.4700000000003,April,False,Herfs,Hoog,Goed,46.509599432946494,2397.4700000000003,46.509599432946494,2025-04
T00045,2025-08-10,Paarl,K0200,Meubels,Lessenaar,4464.17,3123.34,2,0.1462108186117845,0.1466385561055448,1.3670760041350831,8928.34,9.09709776296451,False,False,False,False,True,False,False,False,False,2025,8,3,6,30.035370516803795,1340.83,August,True,Winter,Medium,Goed,42.92936407819833,1290.83,42.92936407819833,2025-08
T00046,2024-08-20,Worcester,K0059,Toestelle,Stoof,11316.36,7432.44,1,0.4725786247398228,0.4328654439369663,-0.4123517295081363,11316.36,9.334093109010496,False,False,False,False,False,False,True,False,False,2024,8,3,1,34.32128352226335,3883.920000000001,August,False,Winter,Medium,Goed,52.25632497537822,3833.920000000001,52.25632497537822,2024-08
T00047,2025-06-26,Stellenbosch,K0194,Meubels,Lessenaar,4587.05,3211.87,1,0.1520635570818231,0.1525190569942955,-0.4123517295081363,4587.05,8.431210376184648,False,False,False,False,True,False,False,False,False,2025,6,2,3,29.97961652914183,1375.1800000000003,June,False,Winter,Laag,Gemiddeld,42.815556046788956,1325.1800000000003,42.815556046788956,2025-06
T00048,2024-11-18,Worcester,K0113,Meubels,Eetstel,14102.98,9381.48,1,0.6053045205355484,0.5623281283627058,-0.4123517295081363,14102.98,9.554212306039265,False,False,True,False,False,False,False,False,False,2024,11,4,0,33.478739954250806,4721.5,November,False,Lente,Medium,Goed,50.32788003598579,4671.5,50.32788003598579,2024-11
T00049,2024-08-04,Worcester,K0076,Toestelle,Wasmajien,6670.49,4385.67,1,0.2512971950865194,0.2304873382912073,-0.4123517295081363,6670.49,8.805598502268063,False,False,False,False,False,False,False,True,False,2024,8,3,6,34.25265610172566,2284.8199999999997,August,True,Winter,Medium,Goed,52.09739902911071,2234.8199999999997,52.09739902911071,2024-08
T00050,2025-05-31,Worcester,K0139,Toestelle,Wasmajien,7535.67,5114.21,1,0.2925054655089472,0.278879748971095,-0.4123517295081363,7535.67,8.927535718885984,False,False,False,False,False,False,False,True,False,2025,5,2,5,32.13330732370181,2421.46,May,True,Herfs,Medium,Goed,47.347684197559346,2371.46,47.347684197559346,2025-05
T00051,2025-07-10,Worcester,K0124,Toestelle,Wasmajien,5787.26,3932.32,1,0.2092292084418894,0.2003740989608657,-0.4123517295081363,5787.26,8.663587007267703,False,False,False,False,False,False,False,True,False,2025,7,3,3,32.05212829560103,1854.94,July,False,Winter,Medium,Goed,47.171644220205884,1804.94,47.171644220205884,2025-07
T00052,2025-04-29,Worcester,K0020,Toestelle,Yskas,7996.49,5379.04,1,0.3144541873657437,0.2964707695332531,-0.4123517295081363,7996.49,8.986883021432144,False,False,False,False,False,False,False,False,True,2025,4,2,1,32.73248637839853,2617.45,April,False,Herfs,Medium,Goed,48.660169844433206,2567.45,48.660169844433206,2025-04
T00053,2024-11-22,Stellenbosch,K0102,Toestelle,Droër,7598.48,4964.91,1,0.2954970874433801,0.2689626724694517,-0.4123517295081363,7598.48,8.935835102880963,False,True,False,False,False,False,False,False,False,2024,11,4,4,34.65916867584043,2633.5699999999997,November,False,Lente,Medium,Goed,53.04366040874859,2583.5699999999997,53.04366040874859,2024-11
T00054,2024-07-15,Paarl,K0192,Meubels,Kas,6493.13,4301.94,1,0.2428495901463661,0.2249256717441035,-0.4123517295081363,6493.13,8.77865397094102,False,False,False,True,False,False,False,False,False,2024,7,3,0,33.74628260946571,2191.1900000000005,July,False,Winter,Medium,Goed,50.93492703292005,2141.1900000000005,50.93492703292005,2024-07
T00055,2025-03-26,Worcester,K0060,Toestelle,Stoof,8674.74,5801.78,1,0.3467590365462746,0.3245507756973836,-0.4123517295081363,8674.74,9.06828590377066,False,False,False,False,False,False,True,False,False,2025,3,1,2,33.11868713068058,2872.96,March,False,Herfs,Medium,Goed,49.51859601708441,2822.96,49.51859601708441,2025-03
T00056,2025-10-26,Stellenbosch,K0017,Toestelle,Droër,7662.37,5045.4,1,0.2985401494620224,0.2743091258359438,-0.4123517295081363,7662.37,8.944207113766666,False,True,False,False,False,False,False,False,False,2025,10,4,6,34.15353213170338,2616.9700000000003,October,True,Lente,Medium,Goed,51.86843461370755,2566.9700000000003,51.86843461370755,2025-10
T00057,2025-10-19,Worcester,K0012,Toestelle,Mikrogolf,2148.97,1545.58,1,0.0359385195734283,0.041837708006196,-0.4123517295081363,2148.97,7.673209167535985,False,False,False,False,False,True,False,False,False,2025,10,4,6,28.07810253284131,603.3899999999999,October,True,Lente,Laag,Gemiddeld,39.03971324680702,553.3899999999999,39.03971324680702,2025-10
T00058,2024-08-08,Paarl,K0138,Toestelle,Yskas,8344.68,5480.82,1,0.3310383752554143,0.3032313860525917,-0.4123517295081363,8344.68,9.029499318695851,False,False,False,False,False,False,False,False,True,2024,8,3,3,34.31959044564921,2863.8600000000006,August,False,Winter,Medium,Goed,52.252400188293,2813.8600000000006,52.252400188293,2024-08
T00059,2024-11-16,Paarl,K0191,Toestelle,Stoof,9033.02,6190.12,1,0.3638238081856416,0.3503458024130446,-0.4123517295081363,9033.02,9.108752730070854,False,False,False,False,False,False,True,False,False,2024,11,4,5,31.472309371616586,2842.9000000000005,November,True,Lente,Medium,Goed,45.92641176584623,2792.9000000000005,45.92641176584623,2024-11
T00060,2025-09-03,Worcester,K0126,Meubels,Kas,6391.58,4499.77,1,0.2380127933394616,0.2380662962874398,-0.4123517295081363,6391.58,8.762893221752657,False,False,False,True,False,False,False,False,False,2025,9,3,2,29.598471739382116,1891.8099999999995,September,False,Lente,Medium,Gemiddeld,42.04237105452055,1841.8099999999995,42.04237105452055,2025-09
T00061,2025-08-22,Paarl,K0114,Meubels,Bed,5169.26,3699.95,1,0.1797940491443323,0.184939195634095,-0.4123517295081363,5169.26,8.550678256373365,True,False,False,False,False,False,False,False,False,2025,8,3,4,28.423991054812493,1469.3100000000004,August,False,Winter,Medium,Gemiddeld,39.71161772456386,1419.3100000000004,39.71161772456386,2025-08
T00062,2025-02-27,Paarl,K0166,Meubels,Bed,7158.71,4894.54,1,0.2745509709315895,0.2642884281732651,-0.4123517295081363,7158.71,8.876224756341134,True,False,False,False,False,False,False,False,False,2025,2,1,3,31.62818440752594,2264.17,February,False,Somer,Medium,Goed,46.25909687120751,2214.17,46.25909687120751,2025-02
T00063,2025-07-03,Stellenbosch,K0032,Toestelle,Stoof,8209.69,5713.24,1,0.324608841026325,0.3186696105704212,-0.4123517295081363,8209.69,9.013192242763951,False,False,False,False,False,False,True,False,False,2025,7,3,3,30.408578155813444,2496.4500000000007,July,False,Winter,Medium,Goed,43.69587134445605,2446.4500000000007,43.69587134445605,2025-07
T00064,2025-10-09,Stellenbosch,K0013,Meubels,Lessenaar,4904.05,3433.88,3,0.1671621743914114,0.1672658095336782,3.146503737778303,14712.15,9.596496930711568,False,False,False,False,True,False,False,False,False,2025,10,4,3,29.97869108186091,1470.17,October,False,Lente,Medium,Gemiddeld,42.813668503267444,1420.17,42.813668503267444,2025-10
T00065,2025-06-07,Stellenbosch,K0196,Meubels,Lessenaar,4757.55,3207.92,1,0.1601844222278319,0.1522566829006485,-0.4123517295081363,4757.55,8.467698278970067,False,False,False,False,True,False,False,False,False,2025,6,2,5,32.57201710964677,1549.63,June,True,Winter,Laag,Goed,48.30637921145166,1499.63,48.30637921145166,2025-06
T00066,2025-01-29,Worcester,K0038,Meubels,Bank,11813.89,8071.98,1,0.4962758331626602,0.4753461345321503,-0.4123517295081363,11813.89,9.377115879378769,False,False,False,False,False,False,False,False,False,2025,1,1,2,31.673817853391224,3741.91,January,False,Somer,Medium,Goed,46.35677987309186,3691.91,46.35677987309186,2025-01
T00067,2024-07-03,Paarl,K0045,Meubels,Bank,7203.07,4743.99,1,0.2766638247607798,0.2542883218951512,-0.4123517295081363,7203.07,8.882401423072626,False,False,False,False,False,False,False,False,False,2024,7,3,2,34.13933225694044,2459.08,July,False,Winter,Medium,Goed,51.83569105331166,2409.08,51.83569105331166,2024-07
T00068,2024-10-21,Worcester,K0061,Meubels,Bank,11933.72,8117.21,1,0.501983301024515,0.478350483963961,-0.4123517295081363,11933.72,9.387207078087174,False,False,False,False,False,False,False,False,False,2024,10,4,0,31.98089112196364,3816.5099999999993,October,False,Lente,Medium,Goed,47.01750971084891,3766.5099999999993,47.01750971084891,2024-10
T00069,2025-05-28,Stellenbosch,K0190,Meubels,Bed,8120.46,5739.78,1,0.3203588422170676,0.320432498784444,-0.4123517295081363,8120.46,9.002265219948775,True,False,False,False,False,False,False,False,False,2025,5,2,2,29.317058393243734,2380.6800000000003,May,False,Herfs,Medium,Gemiddeld,41.47685102913353,2330.6800000000003,41.47685102913353,2025-05
T00070,2025-09-05,Worcester,K0200,Meubels,Eetstel,22389.73,15970.56,1,1.0,1.0,-0.4123517295081363,22389.73,10.016402312902308,False,False,True,False,False,False,False,False,False,2025,9,3,4,28.670153682067628,6419.17,September,False,Lente,Hoog,Gemiddeld,40.193769035024445,6369.17,40.193769035024445,2025-09
T00071,2025-07-06,Worcester,K0158,Meubels,Kas,5711.46,4060.11,1,0.2056188766057165,0.2088623990690037,-0.4123517295081363,5711.46,8.650405032989761,False,False,False,True,False,False,False,False,False,2025,7,3,6,28.912922440146648,1651.35,July,True,Winter,Medium,Gemiddeld,40.67254335473669,1601.35,40.67254335473669,2025-07
T00072,2024-08-14,Worcester,K0008,Toestelle,Mikrogolf,2650.77,1734.43,1,0.059839106847723,0.0543818466353677,-0.4123517295081363,2650.77,7.882982620546258,False,False,False,False,False,True,False,False,False,2024,8,3,2,34.56882339848421,916.3399999999999,August,False,Winter,Laag,Goed,52.832342613999984,866.3399999999999,52.832342613999984,2024-08
T00073,2024-09-01,Paarl,K0126,Toestelle,Mikrogolf,3071.41,2052.54,1,0.0798740670531023,0.0755119283898068,-0.4123517295081363,3071.41,8.030217548903764,False,False,False,False,False,True,False,False,False,2024,9,3,6,33.172712207097064,1018.8699999999999,September,True,Lente,Laag,Goed,49.639471094351386,968.8699999999999,49.639471094351386,2024-09
T00074,2025-09-28,Stellenbosch,K0017,Meubels,Bed,9503.87,6608.19,1,0.3862502560096784,0.3781156093322811,-0.4123517295081363,9503.87,9.1595595778169,True,False,False,False,False,False,False,False,False,2025,9,3,6,30.46843022894885,2895.680000000001,September,True,Lente,Medium,Goed,43.81956329948142,2845.680000000001,43.81956329948142,2025-09
T00075,2024-11-07,Paarl,K0136,Toestelle,Mikrogolf,3201.4,2113.61,3,0.0860654527441856,0.0795684311490524,3.146503737778303,9604.2,9.17005989747416,False,False,False,False,False,True,False,False,False,2024,11,4,3,33.97857187480477,1087.79,November,False,Lente,Medium,Goed,51.465975274530294,1037.79,51.465975274530294,2024-11
T00076,2025-04-28,Paarl,K0030,Toestelle,Yskas,6196.3,4235.6,1,0.2287116640390945,0.2205191154472582,-0.4123517295081363,6196.3,8.731868992311576,False,False,False,False,False,False,False,False,True,2025,4,2,0,31.643077320336328,1960.6999999999998,April,False,Herfs,Medium,Goed,46.290962319388036,1910.6999999999998,46.290962319388036,2025-04
T00077,2025-02-06,Paarl,K0117,Toestelle,Wasmajien,5514.2,3835.63,1,0.1962234404842988,0.1939515796913152,-0.4123517295081363,5514.2,8.615263195762601,False,False,False,False,False,False,False,True,False,2025,2,1,3,30.440861775053495,1678.5699999999997,February,False,Somer,Medium,Goed,43.762563125223224,1628.5699999999997,43.762563125223224,2025-02
T00078,2025-08-13,Paarl,K0171,Meubels,Bed,6867.4,4786.03,1,0.2606759608102765,0.257080779337409,-0.4123517295081363,6867.4,8.834686461439647,True,False,False,False,False,False,False,False,False,2025,8,3,2,30.30797681800973,2081.37,August,False,Winter,Medium,Goed,43.48844449366176,2031.37,43.48844449366176,2025-08
