transaksie_id,datum,winkel_naam,klient_id,produk_kategorie,produk,verkoopsprys,kosprys,hoeveelheid,verkoopsprys_genormaliseer,kosprys_genormaliseer,hoeveelheid_gestandaardiseer,totale_inkomste,log_totale_inkomste,tipe_Bed,tipe_Droër,tipe_Eetstel,tipe_Kas,tipe_Lessenaar,tipe_Mikrogolf,tipe_Stoof,tipe_Wasmajien,tipe_Yskas,jaar,maand,kwartaal,dag_van_week
T00110,2025-09-26,Worcester,K0091,Toestelle,Stoof,6957.12,5033.28,1,0.2649492981762585,0.2735040691232853,-0.41235172950813637,6957.12,8.847664601898325,False,False,False,False,False,False,True,False,False,2025,9,3,4
T00111,2025-12-02,Stellenbosch,K0015,Toestelle,Mikrogolf,1964.55,1372.23,1,0.02715464889761042,0.030323138605259176,-0.41235172950813637,1964.55,7.583527383357993,False,False,False,False,False,True,False,False,False,2025,12,4,1
T00112,2025-07-13,Paarl,K0130,Meubels,Eetstel,16447.42,11159.73,1,0.7169695122241644,0.6804462883697202,-0.41235172950813637,16447.42,9.707984702948334,False,False,True,False,False,False,False,False,False,2025,7,3,6
T00114,2025-01-09,Paarl,K0016,Toestelle,Droër,7356.8,4827.54,1,0.28398593971031616,0.25983803215444334,-0.41235172950813637,7356.8,8.903516253996035,False,True,False,False,False,False,False,False,False,2025,1,1,3
T00115,2025-10-05,Stellenbosch,K0045,Toestelle,Yskas,9946.48,6860.96,1,0.40733164089105656,0.39490555861105137,-0.41235172950813637,9946.48,9.205074531743646,False,False,False,False,False,False,False,False,True,2025,10,4,6
T00116,2024-08-10,Stellenbosch,K0157,Toestelle,Mikrogolf,2463.59,1576.12,1,0.050923778178925766,0.04386629150492466,-0.41235172950813637,2463.59,7.809780744042249,False,False,False,False,False,True,False,False,False,2024,8,3,5
T00117,2024-12-10,Paarl,K0199,Toestelle,Stoof,6975.77,4571.91,1,0.2658375922230214,0.24285811074710853,-0.41235172950813637,6975.77,8.85034133793793,False,False,False,False,False,False,True,False,False,2024,12,4,1
T00118,2025-06-12,Worcester,K0025,Meubels,Bed,4970.31,3479.72,1,0.1703181188170686,0.17031067749640644,-0.41235172950813637,4970.31,8.511438665848111,True,False,False,False,False,False,False,False,False,2025,6,2,3
T00119,2025-07-31,Paarl,K0086,Toestelle,Droër,6756.91,4589.43,2,0.25541335441741725,0.2440218560941199,1.3670760041350833,13513.82,9.511542140086894,False,True,False,False,False,False,False,False,False,2025,7,3,3
T00120,2024-09-22,Worcester,K0168,Meubels,Bed,5508.52,3580.19,1,0.19595290374512392,0.17698427881000395,-0.41235172950813637,5508.52,8.614232784014717,True,False,False,False,False,False,False,False,False,2024,9,3,6
T00121,2025-08-06,Stellenbosch,K0165,Meubels,Bed,6232.29,4337.39,1,0.23042585721566256,0.22728039620480858,-0.41235172950813637,6232.29,8.737659562278747,True,False,False,False,False,False,False,False,False,2025,8,3,2
T00122,2025-06-02,Stellenbosch,K0005,Meubels,Kas,6230.59,4194.28,1,0.2303448867127405,0.2177744831562474,-0.41235172950813637,6230.59,8.737386795912677,False,False,False,True,False,False,False,False,False,2025,6,2,0
T00123,2025-07-07,Paarl,K0197,Meubels,Bank,12145.52,8278.04,1,0.5120712730944545,0.48903342712376885,-0.41235172950813637,12145.52,9.404797987989637,False,False,False,False,False,False,False,False,False,2025,7,3,0
